id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1990,CYYZ,large_airport,Toronto Pearson International Airport,43.675935,-79.629421,569,,Canada,CA,Ontario,CA-ON,ON,Toronto,1,CYYZ,CYYZ,YYZ,YYZ,http://www.torontopearson.com/,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton",1040275,2026-01-11T23:21:06+00:00
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,118,,Canada,CA,Quebec,CA-QC,QC,Montréal,1,CYUL,CYUL,YUL,YUL,http://www.admtl.com/passager/Home.aspx,https://en.wikipedia.org/wiki/Montréal–Trudeau_International_Airport,"YMQ, Dorval Airport",51875,2025-11-06T18:30:49+00:00
1973,CYYC,large_airport,Calgary International Airport,51.118822,-114.009933,3557,,Canada,CA,Alberta,CA-AB,AB,Calgary,1,CYYC,CYYC,YYC,,http://www.calgaryairport.com/,https://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field,51275,2024-04-02T16:47:55+00:00
1926,CYTZ,medium_airport,Billy Bishop Toronto City Airport,43.627852,-79.39553,252,,Canada,CA,Ontario,CA-ON,ON,Toronto,1,CYTZ,CYTZ,YTZ,,https://www.billybishopairport.com/,https://en.wikipedia.org/wiki/Billy_Bishop_Toronto_City_Airport,"YTO, Toronto Island Airport",750,2026-01-11T23:21:52+00:00
1717,CYEG,large_airport,Edmonton International Airport,53.3097,-113.580002,2373,,Canada,CA,Alberta,CA-AB,AB,Edmonton,1,CYEG,CYEG,YEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,,1475,2023-02-26T00:11:13+00:00
1864,CYQB,large_airport,Quebec Jean Lesage International Airport,46.7911,-71.393303,244,,Canada,CA,Quebec,CA-QC,QC,Quebec,1,CYQB,CYQB,YQB,YQB,http://www.aeroportdequebec.com/,https://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport,Quebec City,1050,2021-11-20T16:11:26+00:00
1968,CYXU,large_airport,London International Airport,43.032845,-81.149003,912,,Canada,CA,Ontario,CA-ON,ON,London,1,CYXU,CYXU,YXU,,http://www.londonairport.on.ca/,https://en.wikipedia.org/wiki/London_International_Airport,,1000,2026-01-07T21:28:24+00:00
1763,CYHM,large_airport,John C. Munro Hamilton International Airport,43.17348,-79.931185,780,,Canada,CA,Ontario,CA-ON,ON,Hamilton,1,CYHM,CYHM,YHM,,http://www.flyhi.ca/,https://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport,Mount Hope Airport,1000,2026-01-07T21:26:44+00:00
1875,CYQR,large_airport,Regina International Airport,50.431938,-104.660906,1894,,Canada,CA,Saskatchewan,CA-SK,SK,Regina,1,CYQR,CYQR,YQR,,,https://en.wikipedia.org/wiki/Regina_International_Airport,"YQR, Roland J. Groome International",1000,2026-01-07T14:13:39+00:00
1743,CYGK,medium_airport,Kingston Norman Rogers Airport,44.2253,-76.596901,305,,Canada,CA,Ontario,CA-ON,ON,Kingston,0,CYGK,CYGK,YGK,,http://www.ygkairport.com,https://en.wikipedia.org/wiki/Kingston/Norman_Rogers_Airport,,750,2023-11-01T13:37:44+00:00
